OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1651-0016,201109-1651-003,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Certificate of Origin,Certificate of Origin,No,2/5/12,2/28/15,"This certification is required to determine whether an importer is entitled to duty-free entry for goods which are:  1) the growth or product of a U.S. insular possession, or 2) Caribbean Basin initiative imports.       ",Form and Instruction, ,3229,Certificate of Origin,CBP_Form_3229.pdf,http://forms.cbp.gov/pdf/CBP_Form_3229.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0017,200908-1651-003,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Protest,Protest,No,11/24/09,11/30/12,"Protests are used by importers, filers, and other parties of interest to petition CBP, or protest any action or charge, made by the Port Director, and to request further review of the Port Director's decision.      ",Form and Instruction, ,19,Protest,CBP 19 2009.pdf,http://forms.cbp.gov/pdf/CBP_Form_19.pdf,Yes,Yes,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0018,201103-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Ship's Stores Declaration,Ship's Stores Declaration,No,5/25/11,5/31/13,"CBP Form 1303, Ship's Stores Declaration, was developed by the United Nations International Maritime Organization (IMO) in conjunction with the United States and other countries.  The form was developed as a single international standard ship's stores declaration form to replace the different forms used by various countries for the entrance and clearance of vessels, pursuant to the provisions of section 432, Tariff Act of 1930, as amended, and CBP Regulations (19 CFR 4.7 and 4.7a(2)).   ",Form, ,1303,Ship's Stores Declaration,CBP_Form_1303.pdf,http://forms.cbp.gov/pdf/CBP_Form_1303.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0019,201109-1651-004,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Vessel Entrance or Clearance Form,Vessel Entrance or Clearance Form,No,2/5/12,2/28/14,CBP Form 1300 is submitted upon the arrival of a vessel into the U.S.  CBP needs this information to record tonnage fees and to obligate the vessel captain to the truth of the manifest.       ,Form and Instruction, ,1300,Vessel Entrance or Clearance Statement,CBP_Form_1300.pdf,http://forms.cbp.gov/pdf/CBP_Form_1300.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0020,201111-1651-003,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Crew's Effects Declaration,Crew Effects Declaration,No,3/30/12,3/31/15,"CBP Form 1304 is completed by the master of the arriving carrier to record and list the crew's effects that are accompanying them on the trip, which are defined as merchandise under U.S. statutes.  It is also used by the master of the vessel to attest to the truthfulness of the merchandise being carried aboard the vessel.     ",Form, ,1304,Crew's Effects Declaration,CBP_Form_1304.pdf,http://forms.cbp.gov/pdf/CBP_Form_1304.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0021,200908-1651-004,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Crew Members Declaration,Crew Members Declaration,No,10/28/09,10/31/12,"This form is used to accept and record importations of merchandise by crew members, and to enforce agricultural quarantines, the currency reporting laws and the revenue collection laws.      ",Form and Instruction, ,5129,Crew Member's Declaration,CBP Form 5129.pdf,http://forms.cbp.gov/pdf/CBP_Form_5129.pdf,No, ,Paper Only,International Affairs and Commerce,Global Trade,Individuals or Households
1651-0022,201202-1651-005,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Entry Summary,Entry Summary (Formal Entry),No,8/15/12,8/31/14,"CBP Form 7501 is used by CBP as a record of the import transaction, to collect proper duty, taxes, certifications and enforcement endorsements, and to provide copies to Census for statistical purposes.  CBP proposes to add the new 7501A Document/Payment Transmittal form.      ",Form and Instruction, ,7501,Entry Summary,CBP_Form_7501.pdf,http://forms.cbp.gov/pdf/CBP_Form_7501.pdf,Yes,Yes,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0022,201202-1651-005,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Entry Summary,Entry Summary (with Softwood Lumber Act),No,8/15/12,8/31/14,"CBP Form 7501 is used by CBP as a record of the import transaction, to collect proper duty, taxes, certifications and enforcement endorsements, and to provide copies to Census for statistical purposes.  CBP proposes to add the new 7501A Document/Payment Transmittal form.      ",Form and Instruction, ,7501,Entry Summary,CBP_Form_7501.pdf,http://forms.cbp.gov/pdf/CBP_Form_7501.pdf,Yes,Yes,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0022,201202-1651-005,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Entry Summary,Informal Entry,No,8/15/12,8/31/14,"CBP Form 7501 is used by CBP as a record of the import transaction, to collect proper duty, taxes, certifications and enforcement endorsements, and to provide copies to Census for statistical purposes.  CBP proposes to add the new 7501A Document/Payment Transmittal form.      ",Form and Instruction, ,7501,Entry Summary,CBP_Form_7501.pdf,http://forms.cbp.gov/pdf/CBP_Form_7501.pdf,Yes,Yes,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0022,201202-1651-005,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Entry Summary,Document/Payment Transmittal,No,8/15/12,8/31/14,"CBP Form 7501 is used by CBP as a record of the import transaction, to collect proper duty, taxes, certifications and enforcement endorsements, and to provide copies to Census for statistical purposes.  CBP proposes to add the new 7501A Document/Payment Transmittal form.      ",Form, ,7501A,Document/Payment Transmittal,7501A_Document Payment Transmittal.doc, ,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0023,201101-1651-005,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Request for Information,Request for Information,No,3/16/11,3/31/14,CBP Form 28 is used by CBP personnel to request additional information from importers when the invoice or other documentation provide insufficient information for CBP to carry out its responsibilities to protect revenues.      ,Form and Instruction, ,28,Request for Information,CBP_Form_28.pdf,http://forms.cbp.gov/pdf/CBP_Form_28.pdf,Yes,Yes,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0024,201112-1651-002,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Entry/Immediate Delivery Application and Simplified Entry,Entry/Immediate Delivery Application,No,4/5/12,4/30/13,"CBP Forms 3461 and 3461 Alternate are used by importers to provide CBP with the necessary information in order to examine and release imported cargo.  CBP proposes to establish a new program for ACE entry summary filers called ""Simplified Entry"" in which importers or brokers may file Simplified Entry data in lieu of filing Form 3461.      ",Form, ,3461,Entry/Immediate Delivery Application ,CBP_Form_3461.pdf,http://forms.cbp.gov/pdf/CBP_Form_3461.pdf,Yes,Yes,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0024,201112-1651-002,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Entry/Immediate Delivery Application and Simplified Entry,Enty/Immediate Delivey Alternate,No,4/5/12,4/30/13,"CBP Forms 3461 and 3461 Alternate are used by importers to provide CBP with the necessary information in order to examine and release imported cargo.  CBP proposes to establish a new program for ACE entry summary filers called ""Simplified Entry"" in which importers or brokers may file Simplified Entry data in lieu of filing Form 3461.      ",Form, ,3461 ALT,Entry/Immediate Delivery ALT,3461 Alt Exp Place Holder.pdf,http://www.cbp.gov/linkhandler/cgov/toolbox/forms/cbp_3461a.ctt/cbp_3461a.doc,Yes,No,Paper Only,International Affairs and Commerce,Global Trade,Private Sector
